date,open,high,low,close,adjusted_close,volume
2023-07-10,134.3300018310547,140.52000427246094,133.32000732421875,138.91000366210938,138.91000366210938,409500
2023-07-11,139.10000610351562,149.89999389648438,139.0399932861328,149.5,149.5,653700
2023-07-12,151.77999877929688,161.08999633789062,151.77999877929688,154.19000244140625,154.19000244140625,1010000
2023-07-13,156.0800018310547,157,152.1300048828125,153.88999938964844,153.88999938964844,470600
2023-07-14,154.6199951171875,154.6199951171875,147.74000549316406,149.50999450683594,149.50999450683594,615100
2023-07-17,150,159.0399932861328,148.875,158.47999572753906,158.47999572753906,389800
2023-07-18,158.5,159.86000061035156,154,158.64999389648438,158.64999389648438,514600
2023-07-19,160.39999389648438,162.1999969482422,154.8699951171875,160.44000244140625,160.44000244140625,586900
2023-07-20,157.49000549316406,159.72000122070312,144.35000610351562,146.08999633789062,146.08999633789062,648800
2023-07-21,148.33999633789062,151.39999389648438,144.91000366210938,149.5,149.5,634600
2023-07-24,149,151.1300048828125,144.6300048828125,147.67999267578125,147.67999267578125,413800
2023-07-25,147.22999572753906,150.39700317382812,147.00999450683594,148.52999877929688,148.52999877929688,189400
2023-07-26,147.52000427246094,150.4199981689453,146.3699951171875,148.2100067138672,148.2100067138672,248800
2023-07-27,151.1300048828125,155.99000549316406,144.9499969482422,145.52999877929688,145.52999877929688,934400
2023-07-28,148.89999389648438,152.64999389648438,148.8800048828125,150.9600067138672,150.9600067138672,376100
2023-07-31,151.92999267578125,156.19000244140625,151.92999267578125,155.19000244140625,155.19000244140625,381500
2023-08-01,153.38999938964844,153.7100067138672,149.3300018310547,152.27999877929688,152.27999877929688,246500
2023-08-02,149.16000366210938,150.1199951171875,139.76499938964844,144.14999389648438,144.14999389648438,561000
2023-08-03,142,145,140.30999755859375,141.24000549316406,141.24000549316406,344500
2023-08-04,141.47000122070312,143.0800018310547,137.00999450683594,137.36000061035156,137.36000061035156,625200
2023-08-07,137.5,140.92999267578125,135.27999877929688,140.13999938964844,140.13999938964844,624500
2023-08-08,139.10000610351562,139.2550048828125,130.42999267578125,136,136,1150800
2023-08-09,144.22999572753906,153.4199981689453,141.50999450683594,144.91000366210938,144.91000366210938,1273100
2023-08-10,146.5,147.24000549316406,139,140.97999572753906,140.97999572753906,527000
2023-08-11,138.25,140.92999267578125,137.27999877929688,138.80999755859375,138.80999755859375,334400
2023-08-14,137.36000061035156,138.97999572753906,136,137.4499969482422,137.4499969482422,370900
2023-08-15,135.75999450683594,137.10499572753906,130.42999267578125,130.58999633789062,130.58999633789062,565700
2023-08-16,130.4499969482422,131.33200073242188,129.00599670410156,130.24000549316406,130.24000549316406,315000
2023-08-17,130.7100067138672,130.99000549316406,125.4800033569336,126.61000061035156,126.61000061035156,426700
