date,open,high,low,close,adjusted_close,volume
2023-07-10,426.57001,428.11001,416.48998,421.8,,35390800
2023-07-11,424.80999,427.57999,420.67001,424.049988,,29824400
2023-07-12,430.33001,439.35001,427.77,439.020004,,48127700
2023-07-13,445.18002,461.54999,444.92001,459.77001,,47820400
2023-07-14,465.83,480.88001,450.60001,454.69002,,77207500
2023-07-17,462.89001,464.95998,452.62001,464.60999,,51048800
2023-07-18,467.010002,478.96,457.34001,474.93999,,56916400
2023-07-19,474.64001,478.18001,467.42001,470.77,,42750200
2023-07-20,465.07,470.87002,450.62,455.2,,53786500
2023-07-21,457.87998,458.66001,440.99998,443.089981,,96376900
2023-07-24,447.30999,451.090012,440.40001,446.12,,38251600
2023-07-25,449.41002,461.82999,449.23,456.79001,,34808100
2023-07-26,460.21,460.53001,446.30001,454.52,,36423700
2023-07-27,465.19001,473.95,457.5,459.000015259,,45597600
2023-07-28,466.67999,470.27,463.81001,467.5,,33119400
2023-07-31,467.54002,471.30001,465.060005,467.29,,25105500
2023-08-01,464.59999,469.000015259,460.27,465.07,,23785800
2023-08-02,458.31001,458.4,433.87001,442.69001,,53014200
2023-08-03,437.99999,451.18,437.99999,445.14999,,32417600
2023-08-04,449.85001,456.41998,443.93002,446.8,,36266600
2023-08-07,451.11,455.40001,445.63,454.17,,32215400
2023-08-08,448.53001,452.42001,440.56,446.64001,,35384300
2023-08-09,442.73998,443.12,421.33999,425.54001,,58644900
2023-08-10,421.6,435.74001,418.34999,423.88,,49270500
2023-08-11,417.50999,420.18002,406.39,408.55,,53308500
2023-08-14,404.86,437.99999,403.11001,437.52998,,69028600
2023-08-15,445.60001,452.68002,437.099991,439.39999,,67651200
2023-08-16,445.2,446.74999,434.059982,434.86,,52745100
2023-08-17,439.70001,440.62,430.0099945,433.44002,,45239500
2023-08-18,426.34998,435.77999,416.6,432.99,,58376800
2023-08-21,444.93999,470.64999,442.22,469.66999,,69257300
2023-08-22,481.34998,481.87,453.33,456.67999,,75529300
2023-08-23,458.66001,472.0000076294,452.080002,471.16001,,77904600
2023-08-24,502.16,502.65999,471.59,471.62998,,115604400
2023-08-25,470.12001,478.050003,450.23998,460.18002,,92534100
2023-08-28,464.81998,469.8,448.88,468.34999,,68519200
2023-08-29,466.66,490.81001,463.90999,487.84,,70139700
2023-08-30,490.43999,499.26998,484.24999,492.64,,73520600
2023-08-31,493.80001,497.43999,489.58,493.55,,52857000
2023-09-01,497.62001,497.99999,481.41998,485.089989,,46383000
2023-09-05,482.23,488.51002,478.60001,485.48,,38265300
2023-09-06,484.41002,485.49,465.80002,470.61001,,46867000
2023-09-07,455.25002,463.44002,451.52,462.41001,,43333000
2023-09-08,459.42001,466.05999,452.71,455.71999,,47306900
2023-09-11,461.47999,461.62998,443.12,451.78001,,47396600
2023-09-12,447.37999,456.73,445.30998,448.69999,,34925600
2023-09-13,445.99998,459.3,445.029984,454.85001,,39835500
2023-09-14,459.50001,459.87,451.31001,455.81001,,37009700
2023-09-15,453.41,455.98999,438.079987,439.000015259,,50683100
2023-09-18,427.48001,442.42001,420,439.66,,50027100
2023-09-19,438.33,439.66,430.019989,435.2,,37306400
2023-09-20,435.99998,439.029999,422.23,422.38998,,36710800
2023-09-21,415.83,420.99998,409.8,410.16998,,45073600
2023-09-22,415.71999,421.15002,412.30999,416.10001,,47923600
