Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,144.5,145.99000549316406,144.5,145.14999389648438,135.87957763671875,9100100
2023-07-11,146.33999633789062,147.82000732421875,145.7100067138672,147.4199981689453,138.00462341308594,11260900
2023-07-12,147.4499969482422,149.8699951171875,147.0,148.14999389648438,138.68800354003906,11323200
2023-07-13,148.6999969482422,149.3699951171875,147.75,148.8699951171875,139.3620147705078,11234900
2023-07-14,151.5500030517578,152.88999938964844,148.41000366210938,149.77000427246094,140.2045135498047,27028400
2023-07-17,150.35000610351562,153.75,150.35000610351562,153.3800048828125,143.5839385986328,17262400
2023-07-18,153.3800048828125,154.39999389648438,152.82000732421875,153.66000366210938,143.84608459472656,13491700
2023-07-19,152.75,155.2100067138672,152.22000122070312,154.25,144.39842224121094,12510000
2023-07-20,154.52999877929688,156.58999633789062,154.41000366210938,156.14999389648438,146.17706298828125,9935900
2023-07-21,155.8000030517578,156.13999938964844,154.69000244140625,154.9499969482422,145.05369567871094,10636400
2023-07-24,154.97000122070312,158.7899932861328,154.72999572753906,158.0,147.9088897705078,14381400
2023-07-25,157.3000030517578,157.72000122070312,155.9600067138672,156.82000732421875,146.8042755126953,9944700
2023-07-26,156.7100067138672,158.25,156.27999877929688,157.75999450683594,147.68423461914062,8728600
2023-07-27,157.77000427246094,158.77999877929688,155.5500030517578,156.02000427246094,146.05535888671875,10778400
2023-07-28,157.27999877929688,157.60000610351562,156.44000244140625,156.91000366210938,146.88851928710938,9103800
2023-07-31,157.17999267578125,159.3800048828125,157.14999389648438,157.9600067138672,147.87147521972656,8892700
2023-08-01,157.42999267578125,158.0,156.14999389648438,157.17999267578125,147.14126586914062,6853900
2023-08-02,155.55999755859375,155.69000244140625,153.94000244140625,155.39999389648438,145.47494506835938,8299400
2023-08-03,155.0,156.9199981689453,154.35000610351562,156.35000610351562,146.3643035888672,6084000
2023-08-04,156.39999389648438,157.8000030517578,155.6999969482422,156.02000427246094,146.05535888671875,6209400
2023-08-07,156.60000610351562,157.6999969482422,156.60000610351562,156.75999450683594,146.74810791015625,7251800
2023-08-08,154.32000732421875,155.97999572753906,152.58999633789062,155.8800048828125,145.92428588867188,8623400
2023-08-09,155.32000732421875,155.52000427246094,153.47000122070312,153.7899932861328,143.96775817871094,6277800
2023-08-10,154.3800048828125,155.44000244140625,153.08999633789062,153.55999755859375,143.75247192382812,5995100
2023-08-11,153.02999877929688,154.52000427246094,152.6300048828125,154.4499969482422,144.58563232421875,5180700
2023-08-14,153.61000061035156,154.9199981689453,152.9199981689453,154.77000427246094,144.88516235351562,5044300
2023-08-15,152.85000610351562,153.27000427246094,150.22999572753906,150.8300018310547,141.19683837890625,10300300
2023-08-16,150.60000610351562,150.9600067138672,149.67999267578125,150.19000244140625,140.59771728515625,6978200
2023-08-17,150.8800048828125,151.25999450683594,148.39999389648438,148.6300048828125,139.13734436035156,9953900
2023-08-18,147.64999389648438,149.5,147.44000244140625,148.97000122070312,139.4556427001953,8517500
2023-08-21,149.64999389648438,150.10000610351562,148.02000427246094,149.47999572753906,139.93304443359375,8327000
2023-08-22,149.25999450683594,149.63999938964844,145.85000610351562,146.3800048828125,137.03103637695312,9673300
2023-08-23,146.35000610351562,147.58999633789062,145.4600067138672,147.3699951171875,137.9578094482422,7858000
2023-08-24,147.5,149.41000366210938,146.99000549316406,147.22999572753906,137.8267364501953,6534000
2023-08-25,147.27999877929688,148.6199951171875,145.85000610351562,147.0500030517578,137.65826416015625,6695500
2023-08-28,147.57000732421875,148.61000061035156,147.1300048828125,147.55999755859375,138.13568115234375,5094100
2023-08-29,147.7100067138672,148.85000610351562,147.17999267578125,148.75999450683594,139.25901794433594,6337000
2023-08-30,148.6199951171875,149.14999389648438,147.19000244140625,148.16000366210938,138.69735717773438,6277300
2023-08-31,148.25999450683594,148.35000610351562,145.9600067138672,146.3300018310547,136.98422241210938,10933900
2023-09-01,146.08999633789062,148.0800018310547,145.6999969482422,146.82000732421875,137.4429473876953,7903500
2023-09-05,147.16000366210938,148.2100067138672,145.00999450683594,145.1999969482422,135.9263916015625,7854700
2023-09-06,144.6999969482422,145.5399932861328,144.11000061035156,144.9600067138672,135.7017364501953,8629200
2023-09-07,144.1300048828125,145.27000427246094,143.38999938964844,143.72000122070312,134.5409393310547,8373700
2023-09-08,143.3699951171875,144.1199951171875,142.64999389648438,143.8300018310547,134.64390563964844,7107900
2023-09-11,144.75,145.0500030517578,143.69000244140625,144.4600067138672,135.2336883544922,6854200
2023-09-12,144.5,147.32000732421875,144.0500030517578,146.33999633789062,136.99359130859375,8363200
2023-09-13,147.33999633789062,147.6999969482422,145.82000732421875,146.41000366210938,137.0591278076172,8325900
2023-09-14,147.83999633789062,149.89999389648438,147.52000427246094,149.25,139.71775817871094,10034900
2023-09-15,148.9199981689453,149.72999572753906,148.30999755859375,148.80999755859375,139.3058624267578,19863400
2023-09-18,148.16000366210938,149.13999938964844,147.75,149.1199951171875,139.59603881835938,6512400
2023-09-19,149.5,149.72000122070312,147.2100067138672,148.92999267578125,139.41815185546875,7943400
2023-09-20,149.64999389648438,150.25,148.13999938964844,148.3000030517578,138.82839965820312,7332000
2023-09-21,147.5800018310547,148.85000610351562,146.6300048828125,147.13999938964844,137.7424774169922,8052400
2023-09-22,147.2899932861328,147.50999450683594,145.19000244140625,145.72999572753906,136.42254638671875,7071700
2023-09-25,145.35000610351562,146.52000427246094,143.6999969482422,146.4499969482422,137.09657287597656,7044700
2023-09-26,144.60000610351562,145.83999633789062,144.22999572753906,144.92999267578125,135.6736297607422,7468400
2023-09-27,145.19000244140625,146.08999633789062,144.50999450683594,145.77999877929688,136.46934509277344,6717800
2023-09-28,146.27999877929688,148.8699951171875,146.00999450683594,147.58999633789062,138.1637725830078,8868100
2023-09-29,148.60000610351562,148.75999450683594,144.86000061035156,145.02000427246094,135.75791931152344,11917800
2023-10-02,144.8300018310547,145.6199951171875,142.6300048828125,143.77000427246094,134.58773803710938,9170600
2023-10-03,143.1999969482422,143.58999633789062,142.35000610351562,142.7100067138672,133.595458984375,9431100
2023-10-04,143.19000244140625,143.47000122070312,141.92999267578125,143.35000610351562,134.19454956054688,8128700
2023-10-05,142.0399932861328,143.10000610351562,140.8300018310547,142.89999389648438,134.76039123535156,8576200
2023-10-06,142.91000366210938,145.8800048828125,142.13999938964844,145.10000610351562,136.83506774902344,10270600
2023-10-09,143.66000366210938,145.39999389648438,143.5,144.77000427246094,136.52386474609375,6964900
2023-10-10,145.4199981689453,146.77000427246094,145.27999877929688,145.64999389648438,137.35372924804688,11288800
2023-10-11,146.50999450683594,147.22999572753906,145.02000427246094,146.14999389648438,137.8252410888672,8698200
2023-10-12,146.3000030517578,146.9600067138672,145.1300048828125,145.80999755859375,137.50465393066406,10484400
2023-10-13,148.5,153.11000061035156,147.83999633789062,148.0,139.56988525390625,29427000
2023-10-16,149.4499969482422,149.52000427246094,146.72000122070312,147.85000610351562,139.42843627929688,12663500
2023-10-17,147.57000732421875,149.30999755859375,146.7899932861328,147.52999877929688,139.1266326904297,11482700
2023-10-18,146.58999633789062,147.47999572753906,145.3699951171875,145.91000366210938,137.59893798828125,9620300
2023-10-19,145.47999572753906,147.02000427246094,144.8800048828125,145.2899932861328,137.01425170898438,11143600
2023-10-20,144.57000732421875,145.13999938964844,142.1199951171875,142.9499969482422,134.80751037597656,13332900
2023-10-23,142.94000244140625,143.67999267578125,140.72999572753906,141.0,132.96861267089844,10133400
2023-10-24,141.19000244140625,141.72999572753906,140.36000061035156,141.1699981689453,133.12889099121094,8881400
2023-10-25,140.57000732421875,141.17999267578125,139.50999450683594,140.39999389648438,132.4027862548828,8242600
2023-10-26,139.75999450683594,141.6699981689453,139.42999267578125,140.75999450683594,132.7422637939453,9109400
2023-10-27,138.9499969482422,139.10000610351562,135.19000244140625,135.69000244140625,127.96109008789062,17434700
2023-10-30,136.44000244140625,138.0399932861328,136.0399932861328,137.4199981689453,129.592529296875,9855500
2023-10-31,137.7100067138672,139.24000549316406,137.47000122070312,139.05999755859375,131.1391143798828,9672500
2023-11-01,139.25,140.52999877929688,138.47000122070312,138.94000244140625,131.0259552001953,9432000
2023-11-02,140.08999633789062,141.47999572753906,139.22999572753906,141.4199981689453,133.36468505859375,10186200
2023-11-03,142.19000244140625,143.77000427246094,141.85000610351562,143.0,134.85470581054688,9538700
2023-11-06,143.1699981689453,144.19000244140625,142.7899932861328,144.0800018310547,135.87318420410156,7625100
2023-11-07,143.50999450683594,144.25999450683594,142.82000732421875,144.00999450683594,135.80715942382812,6297900
2023-11-08,144.11000061035156,144.83999633789062,143.6199951171875,144.72000122070312,136.47674560546875,7618200
2023-11-09,145.44000244140625,145.64999389648438,143.6999969482422,144.2899932861328,136.0712127685547,7992500
2023-11-10,144.94000244140625,146.47999572753906,144.0800018310547,146.42999267578125,138.08932495117188,7983300
2023-11-13,145.6999969482422,146.25,145.16000366210938,145.77999877929688,137.47633361816406,6676300
2023-11-14,146.67999267578125,149.25,146.52000427246094,148.44000244140625,139.98483276367188,9927700
2023-11-15,148.4600067138672,150.16000366210938,148.4600067138672,149.74000549316406,141.21075439453125,8365300
2023-11-16,150.08999633789062,151.52999877929688,150.08999633789062,151.4499969482422,142.82337951660156,8126200
2023-11-17,152.1999969482422,152.86000061035156,151.5399932861328,152.82000732421875,144.1153564453125,7812400
2023-11-20,152.0800018310547,153.75,151.9199981689453,153.2899932861328,144.55857849121094,7019000
2023-11-21,153.1999969482422,153.6300048828125,152.57000732421875,152.97000122070312,144.25677490234375,7083500
2023-11-22,153.41000366210938,153.8800048828125,152.89999389648438,153.3300018310547,144.59628295898438,5174500
2023-11-24,153.58999633789062,154.44000244140625,153.27999877929688,153.5399932861328,144.7943115234375,3496900
2023-11-27,153.42999267578125,153.52999877929688,152.7100067138672,153.19000244140625,144.4642791748047,6259100
2023-11-28,153.22000122070312,153.8699951171875,152.72000122070312,153.5399932861328,144.7943115234375,6582700
2023-11-29,154.1699981689453,155.6300048828125,154.0,154.32000732421875,145.5299072265625,9126100
2023-11-30,154.91000366210938,156.1300048828125,154.3800048828125,156.0800018310547,147.18963623046875,9869800
2023-12-01,155.82000732421875,157.86000061035156,155.82000732421875,156.83999633789062,147.9063720703125,8916000
2023-12-04,156.02000427246094,158.0500030517578,155.8800048828125,157.99000549316406,148.9908447265625,9607500
2023-12-05,157.25999450683594,158.5,156.97000122070312,157.97000122070312,148.9720001220703,9135600
2023-12-06,158.83999633789062,159.22000122070312,156.0,156.30999755859375,147.40658569335938,9366000
2023-12-07,156.69000244140625,157.30999755859375,156.14999389648438,156.7899932861328,147.8592071533203,8130900
2023-12-08,157.25999450683594,158.77999877929688,156.97999572753906,158.52000427246094,149.4906768798828,7369400
2023-12-11,158.52000427246094,159.3000030517578,158.14999389648438,159.10000610351562,150.0376434326172,8093900
2023-12-12,159.22999572753906,160.64999389648438,158.8800048828125,160.52000427246094,151.3767547607422,10223000
2023-12-13,160.52000427246094,162.02999877929688,159.77000427246094,161.05999755859375,151.885986328125,12379100
2023-12-14,161.8300018310547,164.83999633789062,161.7100067138672,163.99000549316406,154.64910888671875,13643000
2023-12-15,163.0800018310547,165.27999877929688,162.38999938964844,165.22999572753906,155.81846618652344,20309300
2023-12-18,165.9199981689453,167.1300048828125,165.6300048828125,166.22999572753906,156.76148986816406,8469600
2023-12-19,166.0,168.47000122070312,165.5500030517578,168.4499969482422,158.8550567626953,10345700
2023-12-20,167.99000549316406,169.41000366210938,166.4499969482422,166.5500030517578,157.0632781982422,10734700
2023-12-21,166.83999633789062,168.08999633789062,165.67999267578125,167.5,157.95916748046875,7601700
2023-12-22,167.5,168.22999572753906,167.22999572753906,167.39999389648438,157.86485290527344,6576300
2023-12-26,167.4600067138672,168.77000427246094,167.17999267578125,168.38999938964844,158.79849243164062,4683600
2023-12-27,167.83999633789062,169.47000122070312,167.5800018310547,169.39999389648438,159.75096130371094,6428600
2023-12-28,169.35000610351562,170.66000366210938,169.0,170.3000030517578,160.59967041015625,6320100
2023-12-29,170.0,170.69000244140625,169.6300048828125,170.10000610351562,160.41107177734375,6435100
2024-01-02,169.08999633789062,172.1699981689453,168.91000366210938,172.0800018310547,162.27828979492188,9977400
2024-01-03,171.86000061035156,172.0399932861328,170.3699951171875,171.3300018310547,161.5709991455078,9852300
2024-01-04,170.63999938964844,173.35000610351562,170.5399932861328,171.41000366210938,162.64321899414062,11972500
2024-01-05,171.47000122070312,173.3800048828125,171.47000122070312,172.27000427246094,163.45924377441406,10066000
2024-01-08,172.02000427246094,172.36000061035156,169.49000549316406,172.02000427246094,163.22203063964844,11229900
2024-01-09,171.6199951171875,171.7899932861328,170.10000610351562,170.66000366210938,161.93157958984375,9923600
2024-01-10,170.0,171.0800018310547,168.9499969482422,171.02000427246094,162.27317810058594,9670200
2024-01-11,170.3300018310547,170.36000061035156,168.63999938964844,170.3000030517578,161.58998107910156,11919500
2024-01-12,173.8000030517578,176.30999755859375,168.89999389648438,169.0500030517578,160.40391540527344,19436500
2024-01-16,164.8699951171875,168.08999633789062,164.3000030517578,167.99000549316406,159.3981170654297,17206400
2024-01-17,167.33999633789062,169.07000732421875,166.49000549316406,167.08999633789062,158.5441436767578,11107500
2024-01-18,167.1199951171875,167.52999877929688,165.24000549316406,167.4199981689453,158.8572998046875,9382300
2024-01-19,167.5500030517578,170.57000732421875,167.0800018310547,170.30999755859375,161.59947204589844,13115700
2024-01-22,170.4600067138672,171.97999572753906,169.7100067138672,170.11000061035156,161.40969848632812,12837500
2024-01-23,169.6699981689453,169.75,168.44000244140625,168.99000549316406,160.34698486328125,8360800
2024-01-24,169.36000061035156,171.00999450683594,168.86000061035156,170.5,161.77975463867188,9967100
2024-01-25,172.30999755859375,172.99000549316406,170.91000366210938,172.94000244140625,164.09495544433594,8873500
