Date,Open,High,Low,Close,Adj Close,Volume
2025-07-09,390.0,400.42999267578125,383.67999267578125,390.75,390.75,834100
2025-07-10,390.75,391.80999755859375,378.95001220703125,380.44000244140625,380.44000244140625,875500
2025-07-11,381.3800048828125,383.79998779296875,368.42999267578125,370.82000732421875,370.82000732421875,680800
2025-07-14,371.3599853515625,386.92999267578125,368.0,376.4200134277344,376.4200134277344,1023000
2025-07-15,377.79998779296875,382.5899963378906,372.135986328125,378.30999755859375,378.30999755859375,588400
2025-07-16,378.30999755859375,378.30999755859375,355.05999755859375,361.3500061035156,361.3500061035156,1110800
2025-07-17,361.510009765625,366.0,358.1700134277344,361.95001220703125,361.95001220703125,865000
2025-07-18,358.3399963378906,371.8659973144531,352.80999755859375,370.489990234375,370.489990234375,1039000
2025-07-21,371.0,372.0050048828125,354.04998779296875,355.8500061035156,355.8500061035156,809500
2025-07-22,357.5299987792969,363.1400146484375,351.2900085449219,356.2300109863281,356.2300109863281,632500
2025-07-23,358.0,366.6400146484375,357.6499938964844,359.7900085449219,359.7900085449219,1047600
2025-07-24,360.8500061035156,364.0150146484375,356.0,360.95001220703125,360.95001220703125,672800
2025-07-25,362.4200134277344,365.3599853515625,360.1099853515625,364.0899963378906,364.0899963378906,626200
2025-07-28,362.25,364.05999755859375,335.1000061035156,340.489990234375,340.489990234375,1779300
2025-07-29,342.5,342.75,331.2200012207031,333.7099914550781,333.7099914550781,966700
2025-07-30,335.0799865722656,341.8900146484375,331.510009765625,341.3399963378906,341.3399963378906,765700
2025-07-31,342.82000732421875,357.260009765625,338.0459899902344,346.54998779296875,346.54998779296875,1241200
2025-08-01,342.2300109863281,344.3299865722656,330.32000732421875,338.989990234375,338.989990234375,1016300
2025-08-04,343.2900085449219,352.8699951171875,341.25201416015625,352.3599853515625,352.3599853515625,973700
2025-08-05,354.6000061035156,356.4700012207031,338.5,340.30999755859375,340.30999755859375,1353800
2025-08-06,343.79998779296875,347.25,334.010009765625,343.6099853515625,343.6099853515625,3158600
2025-08-07,446.0,468.0,378.0,390.8399963378906,390.8399963378906,8187900
2025-08-08,404.5,415.760009765625,362.5799865722656,370.3399963378906,370.3399963378906,3839600
2025-08-11,371.44000244140625,373.5,336.3949890136719,340.5899963378906,340.5899963378906,2721400
2025-08-12,342.8999938964844,344.4079895019531,317.7900085449219,322.92999267578125,322.92999267578125,2612800
2025-08-13,324.0199890136719,328.92498779296875,307.04998779296875,327.92999267578125,327.92999267578125,2492800
2025-08-14,327.5,339.1400146484375,321.1700134277344,329.8800048828125,329.8800048828125,1804000
2025-08-15,329.510009765625,333.95001220703125,322.3840026855469,326.92999267578125,326.92999267578125,1066200
